store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
b5d0a65d-6d54-47aa-95e9-9312f0353326,60.0,15.0,106.91,0.0,9.0,61.09
a792089b-e23d-435f-bc18-113b7cc95e11,60.0,15.0,105.0,0.0,9.0,63.0
7a242d0e-309c-4915-9755-e9019d69108d,60.0,18.0,126.0,0.0,6.0,42.0
ca793240-b974-4551-ba0b-649d1a52956c,60.0,9.0,69.0,0.0,15.0,99.0
3a2313be-27d9-429f-9906-ccd142d9906c,60.0,15.0,105.0,0.0,9.0,63.0
474b6ebc-d09f-4270-aad1-d8b4bfd0d98c,60.0,12.0,90.0,0.0,12.0,78.0
be7041f0-8d78-44c5-afcc-6e6b5f339119,60.0,12.0,63.0,0.0,12.0,105.0
5ff4f817-e978-49a1-acac-20f4b1a886e0,60.0,12.0,82.47,0.0,12.0,85.53
f2b972e3-64af-41e0-a723-8696289e3cb5,0.0,0.0,0.0,60.0,24.0,168.0
d608c50a-4725-4c02-bbaa-3771509914aa,60.0,12.0,85.53,0.0,12.0,82.47
